what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1272024302714
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1272024302714
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1272024302714
java.specification.name,sysinfo,,,"Java Platform API Specification",1272024302714
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272024302714
java.specification.version,sysinfo,,,"1.6",1272024302714
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1272024302714
java.version,sysinfo,,,"1.6.0_19",1272024302714
java.vm.info,sysinfo,,,"mixed mode, sharing",1272024302714
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1272024302714
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272024302714
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272024302714
java.vm.specification.version,sysinfo,,,"1.0",1272024302714
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1272024302714
java.vm.version,sysinfo,,,"16.2-b04",1272024302714
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1272024302732
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin.equinox",1272024302735
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.100.v20090520-1905,"org.eclipse.equinox.simpleconfigurator.manipulator",1272024302771
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1272024302832
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1272024302901
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1272024302903
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1272024302913
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1272024303028
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1272024303243
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1272024304473
